labels,classes,predictions,time
Neutral,4,"[2.22113989e-02 1.36235094e-05 1.12843014e-01 4.77394611e-02
 4.59840447e-01 3.24506402e-01 3.28456648e-02]",2021-05-04 23:16:02.839196
Neutral,4,"[1.79164320e-01 1.65879301e-05 1.89612117e-02 1.98310353e-02
 6.61150515e-01 1.18048444e-01 2.82794400e-03]",2021-05-04 23:16:02.945909
Neutral,4,"[4.5677889e-02 7.9845495e-06 4.6544354e-02 2.4925692e-02 6.5450495e-01
 2.2360049e-01 4.7386796e-03]",2021-05-04 23:16:03.023873
Sad,5,"[5.1091362e-02 2.6668011e-05 5.9446957e-02 1.1277269e-02 4.1218704e-01
 4.5633236e-01 9.6384631e-03]",2021-05-04 23:16:03.102422
Sad,5,"[0.24213848 0.00163879 0.03365108 0.04404315 0.29207927 0.3815212
 0.00492808]",2021-05-04 23:16:03.229593
Neutral,4,"[1.6061716e-01 1.4940063e-04 1.3427518e-01 3.6066454e-02 3.4385473e-01
 2.9848903e-01 2.6548134e-02]",2021-05-04 23:16:03.291123
Neutral,4,"[8.4300436e-02 9.5254575e-07 3.4960926e-02 8.2608871e-03 6.7568815e-01
 1.9339354e-01 3.3951926e-03]",2021-05-04 23:16:03.369790
Sad,5,"[6.9701634e-02 4.0673680e-04 4.2428181e-02 7.2837442e-02 2.6430178e-01
 5.4660833e-01 3.7158446e-03]",2021-05-04 23:16:03.462797
Neutral,4,"[8.0914602e-02 8.8898332e-06 5.4637346e-02 1.8488118e-02 6.1652625e-01
 2.2251143e-01 6.9133383e-03]",2021-05-04 23:16:03.540318
Neutral,4,"[2.0018251e-01 2.0578268e-06 3.7054818e-02 1.5838452e-02 4.8726562e-01
 2.5859395e-01 1.0626515e-03]",2021-05-04 23:16:03.615107
Sad,5,"[1.6354382e-01 6.7544592e-05 1.2842031e-01 1.1062179e-02 2.7789789e-01
 4.1109508e-01 7.9132207e-03]",2021-05-04 23:16:03.806634
Sad,5,"[2.2575656e-01 3.0859295e-04 1.7758651e-01 6.8703398e-02 1.9145292e-01
 3.2462308e-01 1.1568999e-02]",2021-05-04 23:16:03.887349
Sad,5,"[1.3592950e-01 1.8534274e-04 9.9091999e-02 2.7571412e-02 3.6484411e-01
 3.6499742e-01 7.3801549e-03]",2021-05-04 23:16:03.989768
Sad,5,"[1.5384208e-01 2.4291508e-04 1.0203534e-01 1.0033820e-01 2.6512715e-01
 3.6810040e-01 1.0313837e-02]",2021-05-04 23:16:04.485656
Sad,5,"[0.14948414 0.00052109 0.1077121  0.12988509 0.28038374 0.31712565
 0.01488823]",2021-05-04 23:16:04.595872
Sad,5,"[8.2218044e-02 3.2048713e-04 6.5220088e-02 1.4187528e-01 2.2617956e-01
 4.7464684e-01 9.5398175e-03]",2021-05-04 23:16:04.848867
Neutral,4,"[0.06515709 0.00039753 0.08748935 0.09583137 0.39722407 0.35093313
 0.00296749]",2021-05-04 23:16:05.015782
Sad,5,"[0.1316653  0.00270193 0.08340072 0.09618932 0.18830284 0.48950654
 0.00823334]",2021-05-04 23:16:05.093342
Neutral,4,"[0.14013493 0.00055604 0.08448346 0.05013404 0.39284375 0.32126635
 0.01058144]",2021-05-04 23:16:05.165930
Fearful,2,"[0.08756602 0.01954723 0.288204   0.11901237 0.23993269 0.20940015
 0.03633751]",2021-05-04 23:16:05.236904
Fearful,2,"[0.15924384 0.00231339 0.29209    0.06780388 0.18742192 0.18233238
 0.10879458]",2021-05-04 23:16:05.314783
Sad,5,"[0.1466766  0.00299711 0.1974976  0.06750258 0.18430257 0.21233684
 0.18868667]",2021-05-04 23:16:05.400463
Fearful,2,"[0.05894597 0.0024211  0.31804326 0.08106663 0.25518948 0.12410377
 0.1602298 ]",2021-05-04 23:16:05.472751
Sad,5,"[0.14290644 0.00122913 0.17602342 0.02410696 0.16104268 0.30681324
 0.1878781 ]",2021-05-04 23:16:05.546759
Neutral,4,"[0.09202378 0.00227576 0.24341556 0.14216498 0.24939321 0.22674954
 0.04397711]",2021-05-04 23:16:05.615763
Sad,5,"[0.12979771 0.00156041 0.19499618 0.06122967 0.17575642 0.25095928
 0.18570028]",2021-05-04 23:16:05.681767
Neutral,4,"[0.10158464 0.00079924 0.19044244 0.11165665 0.26396003 0.26159176
 0.06996529]",2021-05-04 23:16:05.751268
Neutral,4,"[0.06741903 0.00436745 0.24888083 0.09752334 0.2642273  0.2045679
 0.11301419]",2021-05-04 23:16:05.835787
Sad,5,"[0.09439117 0.00087432 0.22489418 0.04049006 0.23381123 0.27876824
 0.12677078]",2021-05-04 23:16:05.912927
Sad,5,"[0.08054354 0.001106   0.17992365 0.09923007 0.22227861 0.3450176
 0.07190042]",2021-05-04 23:16:05.984448
Neutral,4,"[0.06113454 0.00034673 0.23299162 0.15688784 0.28210065 0.22488274
 0.04165588]",2021-05-04 23:16:06.074441
Neutral,4,"[6.1080184e-02 3.0267079e-04 2.3504893e-01 1.0216736e-01 3.1522214e-01
 2.3454322e-01 5.1635437e-02]",2021-05-04 23:16:06.143889
Neutral,4,"[0.08287075 0.00047019 0.19639148 0.07053946 0.295789   0.2115505
 0.14238861]",2021-05-04 23:16:06.226757
Neutral,4,"[8.7403916e-02 1.1852711e-04 1.4564906e-01 4.8094161e-02 3.2917812e-01
 1.8609740e-01 2.0345883e-01]",2021-05-04 23:16:06.306923
Neutral,4,"[0.08225089 0.00042499 0.21167482 0.06530895 0.34834483 0.16060886
 0.1313867 ]",2021-05-04 23:16:06.384937
Surprised,6,"[0.15443766 0.00037998 0.15076078 0.01008768 0.21868613 0.19104949
 0.27459818]",2021-05-04 23:16:06.462943
Neutral,4,"[0.10287094 0.00278398 0.16394155 0.01707389 0.29644403 0.21467808
 0.20220764]",2021-05-04 23:16:06.541728
Neutral,4,"[0.10985309 0.00069133 0.17857657 0.03904193 0.2784441  0.19835761
 0.19503535]",2021-05-04 23:16:06.616733
Neutral,4,"[4.1135300e-02 2.3369335e-04 2.2460438e-01 2.1859290e-02 4.1578901e-01
 1.1103153e-01 1.8534683e-01]",2021-05-04 23:16:06.693705
Neutral,4,"[0.06588233 0.00040953 0.24311969 0.08243346 0.33205983 0.21034804
 0.06574712]",2021-05-04 23:16:06.776896
Neutral,4,"[5.2244779e-02 1.7080679e-04 1.8689619e-01 4.4023201e-02 3.8282686e-01
 1.7288028e-01 1.6095789e-01]",2021-05-04 23:16:06.847095
Sad,5,"[0.0983611  0.00162558 0.2021851  0.026219   0.23621036 0.28186336
 0.15353543]",2021-05-04 23:16:06.930008
Neutral,4,"[0.06182793 0.00058135 0.18030883 0.07920769 0.3784671  0.2361576
 0.06344943]",2021-05-04 23:16:07.012617
Neutral,4,"[5.8399245e-02 2.1226410e-04 1.4288604e-01 1.1492580e-01 3.0426186e-01
 2.1046709e-01 1.6884771e-01]",2021-05-04 23:16:07.082628
Neutral,4,"[2.9743072e-02 7.0998794e-05 1.3349353e-01 1.2273884e-01 3.7699488e-01
 2.7352008e-01 6.3438602e-02]",2021-05-04 23:16:07.146634
Neutral,4,"[2.6758363e-02 2.6745132e-05 1.2672874e-01 1.5187377e-01 3.2683155e-01
 2.8920069e-01 7.8580111e-02]",2021-05-04 23:16:07.228547
Surprised,6,"[0.0780437  0.00032822 0.15963657 0.08481096 0.20809272 0.14595129
 0.32313654]",2021-05-04 23:16:07.307665
