labels,classes,predictions,time
Neutral,4,"[6.6850446e-02 2.1153975e-08 5.5053934e-02 3.7819937e-05 6.0075217e-01
 2.7652577e-01 7.7982462e-04]",2021-05-16 20:32:34.851553
Neutral,4,"[2.0630177e-02 1.6091100e-07 1.3425868e-02 2.5419160e-04 6.8376654e-01
 2.8182322e-01 9.9883866e-05]",2021-05-16 20:32:34.964061
Neutral,4,"[8.2735516e-02 4.4540421e-08 3.9425921e-02 3.2162061e-05 5.4627246e-01
 3.3118495e-01 3.4894631e-04]",2021-05-16 20:32:35.100743
Sad,5,"[0.1945601  0.04207732 0.17322826 0.02572741 0.23730607 0.27359268
 0.05350805]",2021-05-16 20:32:35.291507
Sad,5,"[0.08088251 0.00219736 0.07574726 0.020858   0.30879816 0.48523614
 0.02628062]",2021-05-16 20:32:35.441728
Sad,5,"[4.5426209e-02 1.9966169e-04 7.7093206e-02 4.7005173e-03 3.9041385e-01
 4.5906341e-01 2.3103077e-02]",2021-05-16 20:32:35.564205
Neutral,4,"[6.7864768e-02 3.7734884e-05 4.8982177e-02 5.7634227e-02 5.6686932e-01
 2.5739485e-01 1.2169249e-03]",2021-05-16 20:32:35.811728
Sad,5,"[2.1280846e-02 4.3115765e-06 1.7896684e-02 1.9569706e-02 3.0389380e-01
 6.3692212e-01 4.3244782e-04]",2021-05-16 20:32:35.922328
Neutral,4,"[3.1134756e-02 4.0479708e-07 8.5135251e-03 2.1417136e-04 9.2042488e-01
 3.9478701e-02 2.3353120e-04]",2021-05-16 20:32:36.036766
Neutral,4,"[2.2344481e-02 3.2351160e-08 2.5108682e-02 2.2091516e-04 7.8873920e-01
 1.6338240e-01 2.0433319e-04]",2021-05-16 20:32:36.146771
Neutral,4,"[9.3844250e-02 1.3363510e-07 6.6573240e-02 1.8292348e-04 5.9264582e-01
 2.4631037e-01 4.4334488e-04]",2021-05-16 20:32:36.260945
Neutral,4,"[8.1961215e-02 7.6900392e-08 2.9202919e-02 4.9811668e-05 5.0711161e-01
 3.8105139e-01 6.2302843e-04]",2021-05-16 20:32:36.384826
Sad,5,"[5.0874580e-02 1.2264223e-06 2.8275233e-02 1.0503497e-03 3.6450437e-01
 5.4921037e-01 6.0839690e-03]",2021-05-16 20:32:36.503936
Neutral,4,"[8.4411263e-02 1.6361790e-05 3.5001405e-02 7.1858843e-03 7.7134436e-01
 1.0003694e-01 2.0037787e-03]",2021-05-16 20:32:36.637032
Neutral,4,"[1.3250998e-01 7.9809397e-06 9.0322100e-02 1.5906423e-03 6.6023922e-01
 1.1105061e-01 4.2794845e-03]",2021-05-16 20:32:36.752058
Neutral,4,"[1.1835255e-01 1.1932880e-05 9.7465120e-02 2.1600856e-03 6.5276796e-01
 1.2540181e-01 3.8405494e-03]",2021-05-16 20:32:36.895585
Neutral,4,"[7.6362759e-02 6.0750176e-06 2.8928664e-02 4.6710898e-03 7.7712345e-01
 1.1077495e-01 2.1329399e-03]",2021-05-16 20:32:37.025460
Neutral,4,"[1.11681275e-01 1.68038696e-05 2.88257282e-02 1.75603281e-03
 7.47885406e-01 1.06757641e-01 3.07721854e-03]",2021-05-16 20:32:37.132469
Neutral,4,"[4.3252438e-02 3.6684469e-06 1.8191461e-02 1.2081915e-03 8.0920482e-01
 1.2755927e-01 5.8017997e-04]",2021-05-16 20:32:37.244478
Neutral,4,"[2.1674735e-02 2.9244012e-07 6.2852614e-03 1.6477031e-03 9.0595078e-01
 6.4127296e-02 3.1378958e-04]",2021-05-16 20:32:37.375565
Neutral,4,"[6.7766316e-02 5.3204764e-07 2.3706174e-02 3.1572726e-04 7.4176353e-01
 1.6625482e-01 1.9292760e-04]",2021-05-16 20:32:37.507256
Neutral,4,"[3.9100118e-02 7.3613992e-06 1.2012942e-01 2.3724823e-03 6.3106334e-01
 2.0485844e-01 2.4687590e-03]",2021-05-16 20:32:37.620820
Neutral,4,"[8.9254849e-02 8.9525456e-06 1.8853739e-01 3.7848874e-04 5.1728177e-01
 2.0354186e-01 9.9668396e-04]",2021-05-16 20:32:37.735823
Neutral,4,"[6.5980114e-02 1.7480614e-05 4.8560634e-02 3.9049988e-03 4.7842082e-01
 4.0188563e-01 1.2303113e-03]",2021-05-16 20:32:37.858658
Neutral,4,"[6.3773528e-02 5.5447235e-06 5.3609893e-02 9.4380612e-03 6.0409355e-01
 2.6739413e-01 1.6852921e-03]",2021-05-16 20:32:37.953827
Neutral,4,"[9.3875192e-02 6.7397850e-06 6.7173541e-02 3.4132369e-03 5.1754916e-01
 3.1759256e-01 3.8941434e-04]",2021-05-16 20:32:38.068301
Neutral,4,"[5.6453045e-02 4.3523169e-06 1.1206891e-01 1.0632674e-03 4.5252994e-01
 3.7723869e-01 6.4182695e-04]",2021-05-16 20:32:38.187311
Neutral,4,"[3.3596471e-02 4.6031335e-08 4.7744270e-02 1.8260541e-03 5.6630731e-01
 3.4998360e-01 5.4221705e-04]",2021-05-16 20:32:38.324322
Neutral,4,"[3.8365804e-02 1.0148890e-06 2.3952963e-02 1.0804577e-02 7.0362437e-01
 2.2156921e-01 1.6820738e-03]",2021-05-16 20:32:38.440336
Neutral,4,"[5.4226894e-02 1.6035503e-07 2.8553119e-02 2.3678043e-03 7.4048567e-01
 1.7370176e-01 6.6457334e-04]",2021-05-16 20:32:38.549344
Neutral,4,"[7.0044830e-02 7.6907796e-05 1.2735931e-02 3.9091134e-01 4.0650037e-01
 1.1366674e-01 6.0639177e-03]",2021-05-16 20:32:38.650748
Neutral,4,"[1.4247033e-01 2.6535929e-06 1.3291325e-02 7.9710305e-02 5.8125621e-01
 1.8119994e-01 2.0692761e-03]",2021-05-16 20:32:38.774488
Neutral,4,"[2.4122037e-01 1.7689229e-06 3.6530711e-02 6.6251191e-03 3.8162908e-01
 3.3224794e-01 1.7450820e-03]",2021-05-16 20:32:38.889006
Neutral,4,"[4.3552779e-02 1.7655055e-05 1.3940625e-01 1.3553101e-01 3.4623805e-01
 1.7170843e-01 1.6354585e-01]",2021-05-16 20:32:38.989524
Neutral,4,"[0.0888542  0.0005115  0.08442101 0.25125375 0.4885017  0.07086552
 0.01559224]",2021-05-16 20:32:39.095504
Sad,5,"[2.6674658e-01 6.5457512e-05 4.3636214e-02 7.8952285e-03 2.8197250e-01
 3.9657304e-01 3.1109732e-03]",2021-05-16 20:32:39.205516
Sad,5,"[2.2040275e-01 5.2257717e-05 8.6062104e-02 1.1211202e-01 2.5327793e-01
 3.0732921e-01 2.0763736e-02]",2021-05-16 20:32:39.313521
Neutral,4,"[7.7024356e-02 7.4465274e-06 6.9551356e-02 6.4164139e-02 4.4840652e-01
 2.7315810e-01 6.7688175e-02]",2021-05-16 20:32:39.408845
Neutral,4,"[5.6645956e-02 5.4972253e-07 1.9139441e-02 6.8617919e-03 7.5212735e-01
 1.6244973e-01 2.7751352e-03]",2021-05-16 20:32:39.541001
Neutral,4,"[7.4963339e-02 2.0413050e-05 1.5179697e-01 2.8927524e-02 4.0454638e-01
 3.2501861e-01 1.4726827e-02]",2021-05-16 20:32:39.642853
