labels,classes,predictions,time
Angry,0,"[0.44949755 0.00986273 0.15074557 0.03353402 0.11401377 0.05291518
 0.18943126]",45:13.6
Neutral,4,"[2.3494342e-02 4.3254453e-04 5.7423278e-03 3.4633389e-01 5.7098854e-01
 5.2120928e-02 8.8739599e-04]",45:13.7
Neutral,4,"[0.17150165 0.00412561 0.03435419 0.17122214 0.4301099  0.18671453
 0.001972  ]",45:13.8
Neutral,4,"[1.6935470e-02 2.8011031e-03 3.4932822e-03 1.9050552e-01 7.6830089e-01
 1.7453583e-02 5.1012071e-04]",45:13.9
Neutral,4,"[0.05221222 0.00450663 0.02819139 0.3341722  0.5253341  0.04530429
 0.01027914]",45:14.0
Sad,5,"[0.08572577 0.01645178 0.14027393 0.28112715 0.11795992 0.340184
 0.01827741]",45:14.0
Sad,5,"[0.2125586  0.00348553 0.06465482 0.05670478 0.07715996 0.5632752
 0.02216104]",45:14.4
Happy,3,"[0.18015225 0.03768679 0.1303969  0.2994984  0.18488538 0.14181954
 0.0255608 ]",45:14.5
Neutral,4,"[0.14142588 0.00784873 0.15949807 0.05515664 0.41905245 0.21085513
 0.00616318]",45:14.6
Neutral,4,"[0.17039105 0.01909107 0.08565426 0.01889464 0.5489406  0.14128038
 0.01574804]",45:14.7
Neutral,4,"[0.11290146 0.02369781 0.02154712 0.13951789 0.6578821  0.04069286
 0.00376071]",45:14.8
Angry,0,"[0.33812398 0.0620316  0.13088745 0.10130506 0.09366224 0.17671786
 0.09727184]",45:17.5
Neutral,4,"[0.21971081 0.1768896  0.06115156 0.10355459 0.2201776  0.20808625
 0.01042961]",45:17.7
Sad,5,"[0.18362585 0.03486757 0.16902515 0.19828807 0.11715963 0.29014966
 0.00688406]",45:17.8
Fearful,2,"[0.3040076  0.02005021 0.33827043 0.02176251 0.11615276 0.14125526
 0.05850123]",45:18.0
Angry,0,"[0.6053982  0.01575316 0.12832731 0.00630868 0.07070073 0.08833461
 0.08517738]",45:18.1
Angry,0,"[0.42412564 0.03956275 0.17032854 0.05174176 0.14314573 0.11216824
 0.05892734]",45:18.3
Neutral,4,"[0.16366485 0.05621477 0.02804978 0.03937194 0.4224801  0.284345
 0.00587357]",45:18.4
Happy,3,"[6.4410791e-02 1.3341996e-04 5.2864095e-03 5.2965480e-01 3.6566094e-01
 3.3123270e-02 1.7304111e-03]",45:18.8
Happy,3,"[6.2407805e-03 1.7193977e-05 5.7485723e-03 6.4949453e-01 2.9646707e-01
 4.1951343e-02 8.0558777e-05]",45:19.6
Neutral,4,"[0.0602442  0.00095255 0.09386575 0.01319491 0.59058386 0.23410241
 0.0070562 ]",45:31.4
Neutral,4,"[3.2949049e-03 7.5382553e-04 1.2477910e-02 2.0741366e-01 7.6305300e-01
 1.1376533e-02 1.6301306e-03]",45:31.5
Neutral,4,"[0.08106206 0.00077498 0.09197304 0.00285911 0.7365222  0.08189328
 0.00491531]",45:31.6
Neutral,4,"[7.70561211e-03 2.14442989e-04 8.19560811e-02 1.13660246e-01
 7.80263960e-01 1.44853909e-02 1.71426078e-03]",45:31.7
Neutral,4,"[1.5449840e-02 6.1099473e-03 1.0702970e-02 1.0500324e-01 8.1392193e-01
 4.8267942e-02 5.4408878e-04]",45:32.2
Neutral,4,"[1.4260228e-03 8.7338740e-06 6.1429595e-03 2.5995001e-01 7.2974920e-01
 2.6675798e-03 5.5543289e-05]",45:32.2
Neutral,4,"[3.0192526e-03 3.5048618e-06 5.0421562e-03 8.5058384e-02 9.0028530e-01
 6.5835379e-03 7.8293988e-06]",45:32.3
Angry,0,"[0.36400852 0.00101104 0.14305413 0.00556651 0.34698555 0.13251679
 0.00685752]",45:32.5
Neutral,4,"[0.21775894 0.00050683 0.17338921 0.0057227  0.3936457  0.201529
 0.0074477 ]",45:32.6
Sad,5,"[0.0260685  0.00339795 0.2526955  0.00713196 0.25292563 0.26434344
 0.19343698]",45:33.0
Neutral,4,"[1.5797506e-01 3.0673313e-04 1.2870190e-01 8.9946641e-03 4.8793957e-01
 2.1389073e-01 2.1913850e-03]",45:33.7
Sad,5,"[0.26144987 0.00081365 0.05347044 0.01403996 0.27856764 0.35099658
 0.04066189]",45:34.0
Sad,5,"[0.22303341 0.00291929 0.23925647 0.0096043  0.09573925 0.42846522
 0.00098203]",45:34.9
Sad,5,"[2.46772528e-01 5.89854131e-03 1.15427382e-01 8.83904845e-03
 1.09151915e-01 5.13794959e-01 1.15628223e-04]",45:35.0
Neutral,4,"[0.21447067 0.06413306 0.10017263 0.12925236 0.31804112 0.16768454
 0.00624564]",45:35.1
Happy,3,"[0.01881701 0.0048641  0.07972813 0.5593613  0.22470538 0.11165484
 0.00086923]",45:35.2
Neutral,4,"[0.1042216  0.02551227 0.09249465 0.10866244 0.35771    0.309857
 0.00154207]",45:35.3
Happy,3,"[5.5670892e-03 3.8941995e-05 4.9326476e-03 6.7758650e-01 3.0333903e-01
 8.2927048e-03 2.4314203e-04]",45:35.3
Neutral,4,"[5.5473451e-02 9.0057537e-04 2.1904189e-02 2.3839979e-01 5.2092957e-01
 1.6199307e-01 3.9937795e-04]",45:35.4
Sad,5,"[9.1668807e-02 1.6902307e-03 1.4031778e-01 7.2552323e-02 3.9521676e-02
 6.5416348e-01 8.5706684e-05]",45:35.5
Fearful,2,"[1.2923296e-01 2.1417722e-02 3.0818865e-01 1.8777111e-01 1.4051473e-01
 2.1259394e-01 2.8083904e-04]",45:35.6
Neutral,4,"[7.3402971e-02 3.6922174e-03 5.0282631e-02 1.6276994e-01 5.0890368e-01
 2.0069122e-01 2.5737207e-04]",45:35.6
Happy,3,"[4.5083719e-03 2.9981308e-04 1.3880077e-02 7.9300487e-01 5.0557457e-02
 1.3773914e-01 1.0180281e-05]",45:35.8
Happy,3,"[4.2664837e-03 8.7437581e-07 8.5321121e-04 9.4353795e-01 4.5388531e-02
 5.9264377e-03 2.6483063e-05]",45:35.9
Happy,3,"[7.0657069e-03 2.9747976e-05 4.9075978e-03 8.1931913e-01 9.9208079e-02
 6.9437958e-02 3.1826745e-05]",45:36.0
Happy,3,"[0.162665   0.00148566 0.0078249  0.74115926 0.03808737 0.04699172
 0.00178611]",45:36.0
Happy,3,"[0.12044214 0.00343363 0.02121796 0.6465904  0.06866677 0.13704452
 0.00260456]",45:36.1
Happy,3,"[7.5305633e-02 1.0003097e-04 5.5252541e-02 6.8807030e-01 4.2582177e-02
 1.3850248e-01 1.8676078e-04]",45:36.2
Sad,5,"[0.31886464 0.0250121  0.13262056 0.0609404  0.06019686 0.3997602
 0.00260521]",45:36.3
Happy,3,"[1.6302560e-02 7.6367185e-05 8.7024467e-03 7.6418632e-01 3.2075651e-02
 1.7865093e-01 5.6537706e-06]",45:38.2
Happy,3,"[1.22184325e-02 2.09032019e-04 1.30259981e-02 9.00617182e-01
 3.55583206e-02 3.83236632e-02 4.73058644e-05]",45:38.3
Happy,3,"[5.1540341e-03 1.2278289e-06 1.0621612e-03 9.4565278e-01 2.6662337e-02
 2.1467173e-02 1.8521557e-07]",45:38.3
Happy,3,"[3.7035095e-03 2.5150043e-06 3.2355769e-03 8.6286330e-01 9.5871501e-02
 3.4321036e-02 2.5461893e-06]",45:38.4
Happy,3,"[2.5263268e-03 1.9433289e-06 8.7126195e-03 9.3561739e-01 2.9243452e-02
 2.3895983e-02 2.3722268e-06]",45:38.5
Happy,3,"[8.3281536e-04 8.5751453e-06 9.6520974e-04 9.8721981e-01 7.8201191e-03
 3.1512571e-03 2.2273005e-06]",45:38.6
Happy,3,"[1.1348185e-03 4.9074415e-06 2.2859115e-03 9.8629355e-01 5.4014483e-03
 4.8742467e-03 5.1464772e-06]",45:38.6
