labels,classes,predictions,time
Neutral,4,"[0.02073583 0.00165298 0.08714277 0.37111515 0.47703826 0.03981145
 0.00250351]",2021-05-04 21:52:34.606043
Neutral,4,"[0.02701228 0.004156   0.1293787  0.27686074 0.45598528 0.10053879
 0.00606821]",2021-05-04 21:52:34.702054
Neutral,4,"[9.3300696e-03 4.8824702e-04 3.2107800e-02 2.2077896e-01 7.1960324e-01
 1.5710281e-02 1.9813674e-03]",2021-05-04 21:52:34.793643
Neutral,4,"[0.03205841 0.00582785 0.09898628 0.2796928  0.5093326  0.06625406
 0.00784793]",2021-05-04 21:52:34.873649
Neutral,4,"[0.01715966 0.00248417 0.05528333 0.30308613 0.5569145  0.0583588
 0.00671343]",2021-05-04 21:52:34.953277
Neutral,4,"[0.02143746 0.00217651 0.04111552 0.33272412 0.5553733  0.03935567
 0.00781746]",2021-05-04 21:52:35.042422
Neutral,4,"[0.03442959 0.00881519 0.12856635 0.3710639  0.39572257 0.05969658
 0.00170583]",2021-05-04 21:52:35.123523
Neutral,4,"[0.01706653 0.02078737 0.11856135 0.19610599 0.52925545 0.11048602
 0.00773724]",2021-05-04 21:52:35.209039
Neutral,4,"[0.0105881  0.00698979 0.041056   0.2230647  0.65979844 0.04905349
 0.0094495 ]",2021-05-04 21:52:35.304009
Neutral,4,"[0.02259822 0.01041923 0.1258931  0.31664076 0.42367506 0.08316401
 0.01760967]",2021-05-04 21:52:35.391524
Neutral,4,"[0.0251429  0.00384507 0.03647491 0.293601   0.5232459  0.09811831
 0.01957195]",2021-05-04 21:52:35.477046
Neutral,4,"[0.02098025 0.00286006 0.03114213 0.37987703 0.49061006 0.05907476
 0.01545563]",2021-05-04 21:52:35.572982
Neutral,4,"[9.5573412e-03 5.2615354e-04 1.9260766e-02 3.4970233e-01 5.6616169e-01
 4.4095900e-02 1.0695763e-02]",2021-05-04 21:52:35.660997
Neutral,4,"[0.01048721 0.00100024 0.02488342 0.37906277 0.49283224 0.06084418
 0.03088997]",2021-05-04 21:52:35.743008
Happy,3,"[3.7047670e-03 1.1186734e-04 1.0358463e-02 5.7091045e-01 3.8827702e-01
 2.4095941e-02 2.5414894e-03]",2021-05-04 21:52:35.818014
Neutral,4,"[0.02479791 0.00181132 0.03836732 0.43296427 0.4350357  0.06011228
 0.00691127]",2021-05-04 21:52:35.897134
Neutral,4,"[0.02515905 0.00775459 0.06582075 0.2637072  0.5484836  0.07985739
 0.00921749]",2021-05-04 21:52:35.980172
Neutral,4,"[0.01436874 0.0017789  0.05153412 0.279453   0.5797492  0.0581975
 0.01491846]",2021-05-04 21:52:36.071177
Neutral,4,"[0.00899715 0.0012329  0.02740003 0.32820496 0.5588106  0.05953458
 0.01581976]",2021-05-04 21:52:36.153336
Neutral,4,"[0.03198695 0.00799068 0.11366177 0.3124342  0.4528439  0.0604047
 0.02067784]",2021-05-04 21:52:36.233852
Neutral,4,"[0.02928064 0.01779786 0.08573765 0.2519291  0.48556688 0.10986508
 0.0198227 ]",2021-05-04 21:52:36.331469
Happy,3,"[0.01907167 0.0028287  0.03491062 0.49177572 0.3857403  0.06182693
 0.00384609]",2021-05-04 21:52:36.417981
Happy,3,"[0.01051107 0.00109292 0.02429126 0.6356043  0.299038   0.02641122
 0.00305116]",2021-05-04 21:52:36.498988
Happy,3,"[1.8442204e-03 7.0100214e-05 5.9555783e-03 5.6605196e-01 4.1390997e-01
 1.1259562e-02 9.0855605e-04]",2021-05-04 21:52:36.575994
Happy,3,"[7.9858899e-03 6.1041734e-04 1.9913897e-02 6.5507531e-01 3.0037156e-01
 1.5401106e-02 6.4185774e-04]",2021-05-04 21:52:36.656000
Happy,3,"[1.1935308e-02 2.7738936e-04 1.1791222e-02 6.1656725e-01 3.2961646e-01
 2.6476340e-02 3.3360089e-03]",2021-05-04 21:52:36.755363
Neutral,4,"[7.45063368e-03 1.60043361e-04 1.15215955e-02 4.62902129e-01
 4.94209379e-01 2.15487126e-02 2.20748992e-03]",2021-05-04 21:52:36.844372
Happy,3,"[0.00836077 0.00068734 0.02039244 0.5528207  0.39708537 0.01750022
 0.00315318]",2021-05-04 21:52:36.935973
Happy,3,"[3.6193982e-03 7.1467788e-05 9.3888193e-03 7.5765306e-01 2.2102171e-01
 6.2831892e-03 1.9623884e-03]",2021-05-04 21:52:37.016985
Happy,3,"[1.3848227e-03 2.5051088e-05 9.7162202e-03 6.7867780e-01 3.0352870e-01
 5.4190862e-03 1.2483621e-03]",2021-05-04 21:52:37.110489
Happy,3,"[1.3417065e-02 3.9759741e-04 3.1924300e-02 5.2146822e-01 3.4354106e-01
 8.7297782e-02 1.9540843e-03]",2021-05-04 21:52:37.200136
Happy,3,"[5.3965631e-03 4.9108552e-05 1.0196696e-02 6.3177323e-01 3.0139312e-01
 5.0111949e-02 1.0794005e-03]",2021-05-04 21:52:37.283142
Happy,3,"[0.01261608 0.00153228 0.02454306 0.5380431  0.32942167 0.09004503
 0.0037989 ]",2021-05-04 21:52:37.368900
Happy,3,"[6.8221460e-03 5.1941368e-04 3.2343321e-02 5.6809217e-01 3.4878781e-01
 3.7964571e-02 5.4705618e-03]",2021-05-04 21:52:37.450909
Happy,3,"[0.0098183  0.00065848 0.02460345 0.56320363 0.37825528 0.01862715
 0.00483368]",2021-05-04 21:52:37.531813
Neutral,4,"[7.1420916e-03 3.0540815e-04 2.9183390e-02 3.9083904e-01 5.5021328e-01
 1.6309947e-02 6.0069184e-03]",2021-05-04 21:52:37.621823
Happy,3,"[0.00825619 0.00060741 0.0346661  0.52405196 0.38229606 0.04680369
 0.00331857]",2021-05-04 21:52:37.698836
Happy,3,"[0.01207155 0.00073351 0.05117211 0.45932487 0.41749436 0.05588159
 0.00332203]",2021-05-04 21:52:37.785857
Happy,3,"[1.0456775e-02 5.3081231e-04 5.7135608e-02 5.6573886e-01 3.1409132e-01
 4.8864547e-02 3.1821018e-03]",2021-05-04 21:52:37.877462
Happy,3,"[0.03834337 0.00264039 0.09065579 0.3659797  0.34798428 0.14843088
 0.00596556]",2021-05-04 21:52:37.957470
Happy,3,"[3.8944767e-03 6.5930253e-05 1.6107582e-02 7.8718257e-01 1.7801104e-01
 1.4000269e-02 7.3817716e-04]",2021-05-04 21:52:38.036474
Happy,3,"[0.04048579 0.00525926 0.08049918 0.40043512 0.37295067 0.09260939
 0.00776055]",2021-05-04 21:52:38.116194
Happy,3,"[1.0869305e-02 1.8863275e-04 1.1197091e-02 6.7396820e-01 2.5057143e-01
 5.1737580e-02 1.4676850e-03]",2021-05-04 21:52:38.208733
Happy,3,"[5.4848110e-03 1.9621044e-04 1.6600426e-02 5.5110538e-01 4.0592346e-01
 1.9053612e-02 1.6361321e-03]",2021-05-04 21:52:38.289889
Happy,3,"[9.1286115e-03 4.7556232e-04 1.8715257e-02 4.9692166e-01 4.4929355e-01
 2.4022257e-02 1.4431891e-03]",2021-05-04 21:52:38.366902
Happy,3,"[4.7548385e-03 1.5526742e-04 1.2366019e-02 6.5657902e-01 3.1144503e-01
 1.3604697e-02 1.0951131e-03]",2021-05-04 21:52:38.448916
Happy,3,"[5.1621879e-03 1.1437337e-04 2.0080244e-02 5.0323063e-01 4.4600797e-01
 2.4223283e-02 1.1813408e-03]",2021-05-04 21:52:38.528430
Neutral,4,"[0.01464492 0.002388   0.02766651 0.3162131  0.6170267  0.01927003
 0.00279078]",2021-05-04 21:52:38.611942
Neutral,4,"[0.01462016 0.00623238 0.03920207 0.3524602  0.561218   0.02409059
 0.00217646]",2021-05-04 21:52:38.700905
Neutral,4,"[0.02865556 0.00907184 0.08201964 0.21868324 0.5988818  0.05200709
 0.01068093]",2021-05-04 21:52:38.796173
Happy,3,"[0.01702941 0.00717933 0.0814611  0.4821528  0.31795892 0.08316734
 0.01105098]",2021-05-04 21:52:38.880695
Happy,3,"[0.02773164 0.00595322 0.09833843 0.49934354 0.26805264 0.08923382
 0.0113467 ]",2021-05-04 21:52:38.968843
Happy,3,"[0.03078599 0.00323091 0.03534003 0.61533993 0.2868155  0.02491515
 0.00357252]",2021-05-04 21:52:39.047850
Neutral,4,"[0.04559278 0.00763162 0.14400628 0.31560197 0.3733874  0.10532643
 0.00845345]",2021-05-04 21:52:39.130486
Happy,3,"[0.02263529 0.00268454 0.06493325 0.5541779  0.25364563 0.09986155
 0.00206183]",2021-05-04 21:52:39.218727
Happy,3,"[0.03901607 0.00929475 0.08371788 0.4714485  0.12437467 0.27006826
 0.00207975]",2021-05-04 21:52:39.300736
Happy,3,"[0.01453441 0.0011296  0.03062505 0.76495445 0.07859821 0.10915467
 0.00100367]",2021-05-04 21:52:39.393841
Happy,3,"[0.01956863 0.0073301  0.13393636 0.5086531  0.19445045 0.13086809
 0.00519334]",2021-05-04 21:52:39.472525
Sad,5,"[0.0333984  0.0058917  0.20133685 0.16218019 0.27768788 0.31127524
 0.00822976]",2021-05-04 21:52:39.703091
Happy,3,"[0.02674839 0.00167431 0.06695006 0.3694156  0.33067727 0.20303613
 0.00149819]",2021-05-04 21:52:39.792098
Happy,3,"[0.03380306 0.00505925 0.08230898 0.4694126  0.32839996 0.07720806
 0.00380804]",2021-05-04 21:52:39.880986
Happy,3,"[0.02755697 0.00644561 0.07989363 0.4710638  0.27364022 0.13505116
 0.00634866]",2021-05-04 21:52:39.959792
Happy,3,"[0.04533721 0.00855847 0.10784595 0.43231517 0.21515352 0.18507707
 0.00571265]",2021-05-04 21:52:40.042462
Happy,3,"[0.03055417 0.00657088 0.07822295 0.5134127  0.2666325  0.097459
 0.00714779]",2021-05-04 21:52:40.132162
Happy,3,"[0.02158849 0.00466824 0.08976448 0.47154874 0.25020117 0.1583706
 0.00385839]",2021-05-04 21:52:40.211896
Happy,3,"[1.0676835e-02 5.7381758e-04 2.1539077e-02 7.3799616e-01 1.3864970e-01
 8.2450002e-02 8.1144897e-03]",2021-05-04 21:52:40.310751
Happy,3,"[0.00551637 0.00122134 0.02369943 0.7441909  0.18044987 0.04294857
 0.00197355]",2021-05-04 21:52:40.395548
Happy,3,"[1.3865305e-03 4.2854652e-05 6.6187014e-03 8.9507443e-01 8.3124146e-02
 1.3429766e-02 3.2364854e-04]",2021-05-04 21:52:40.476552
Happy,3,"[3.7435649e-03 1.3664117e-04 1.1927231e-02 8.0811590e-01 1.5588738e-01
 1.9535085e-02 6.5426208e-04]",2021-05-04 21:52:40.556558
Happy,3,"[7.1612606e-03 4.7982120e-04 2.7853351e-02 7.6833218e-01 1.3820618e-01
 5.2781370e-02 5.1857624e-03]",2021-05-04 21:52:40.653561
Happy,3,"[5.0925170e-03 4.7914305e-04 2.9840434e-02 7.7261442e-01 1.4998814e-01
 3.2093164e-02 9.8922225e-03]",2021-05-04 21:52:40.743574
Happy,3,"[2.2813645e-03 4.1345684e-05 6.5198648e-03 7.7949297e-01 1.9063346e-01
 2.0335501e-02 6.9555728e-04]",2021-05-04 21:52:40.822536
Happy,3,"[1.3084703e-03 3.0834402e-05 5.4926239e-03 8.9940101e-01 8.0777571e-02
 1.2616853e-02 3.7260560e-04]",2021-05-04 21:52:40.902419
Happy,3,"[3.6736799e-03 5.7900186e-05 6.5929429e-03 8.5940355e-01 1.0394453e-01
 2.4238354e-02 2.0890834e-03]",2021-05-04 21:52:40.981425
Happy,3,"[4.4132625e-03 9.8908255e-05 9.4788624e-03 7.5560194e-01 2.0541996e-01
 2.3774693e-02 1.2124222e-03]",2021-05-04 21:52:41.061431
Happy,3,"[4.1727382e-03 1.5966142e-04 6.6355178e-03 8.3887136e-01 1.0713196e-01
 3.9510600e-02 3.5181940e-03]",2021-05-04 21:52:41.153453
Happy,3,"[5.6207674e-03 1.7214939e-04 1.3219688e-02 7.9226613e-01 1.4740671e-01
 3.3782132e-02 7.5323791e-03]",2021-05-04 21:52:41.232638
Happy,3,"[0.01763175 0.00143269 0.05382624 0.63922524 0.2041126  0.08268762
 0.00108383]",2021-05-04 21:52:41.312150
Happy,3,"[7.1843946e-03 6.5082866e-05 8.5611567e-03 8.1451488e-01 1.2194799e-01
 4.5672115e-02 2.0543765e-03]",2021-05-04 21:52:41.409842
Happy,3,"[1.8709410e-02 5.5347971e-04 2.1200122e-02 6.0312593e-01 2.6487103e-01
 8.9983717e-02 1.5563264e-03]",2021-05-04 21:52:41.505076
Happy,3,"[0.0217755  0.00176901 0.04500886 0.54632246 0.2744486  0.10483513
 0.00584049]",2021-05-04 21:52:41.593865
Happy,3,"[0.0272538  0.00211569 0.123423   0.35835522 0.26800016 0.21524341
 0.00560861]",2021-05-04 21:52:41.673230
Happy,3,"[0.02720049 0.00124151 0.02945553 0.5903854  0.22269197 0.1274835
 0.00154166]",2021-05-04 21:52:41.761414
Happy,3,"[0.03186919 0.00268838 0.04541519 0.54588014 0.22583514 0.14701352
 0.00129844]",2021-05-04 21:52:41.849681
Happy,3,"[8.0820629e-03 3.0718118e-04 1.2329952e-02 7.0250303e-01 2.4479075e-01
 3.0913567e-02 1.0735171e-03]",2021-05-04 21:52:41.937905
Happy,3,"[5.4989662e-03 1.7002922e-04 1.4052136e-02 7.6646739e-01 1.8160333e-01
 3.1284232e-02 9.2384283e-04]",2021-05-04 21:52:42.022839
Happy,3,"[7.4038940e-04 1.8470721e-05 1.8146230e-03 8.7448150e-01 1.2010470e-01
 2.4065836e-03 4.3364055e-04]",2021-05-04 21:52:42.114782
Happy,3,"[2.5209591e-03 1.6132522e-05 1.4786821e-02 7.9526275e-01 1.7961814e-01
 7.2027454e-03 5.9252884e-04]",2021-05-04 21:52:42.205899
Happy,3,"[7.83048628e-04 1.61931757e-06 1.40392489e-03 8.97244215e-01
 9.75700319e-02 2.88742059e-03 1.09787325e-04]",2021-05-04 21:52:42.294924
Happy,3,"[4.5051443e-04 3.1480215e-07 1.4275789e-03 8.5174465e-01 1.4408898e-01
 2.1798932e-03 1.0818029e-04]",2021-05-04 21:52:42.386449
Happy,3,"[4.59833012e-04 6.59735511e-09 2.09755846e-03 6.91143930e-01
 3.03338706e-01 2.85809161e-03 1.01934245e-04]",2021-05-04 21:52:42.472890
Happy,3,"[7.1173895e-04 2.4616210e-08 5.1812888e-03 7.5079370e-01 2.3696211e-01
 6.2493328e-03 1.0173972e-04]",2021-05-04 21:52:42.553911
Happy,3,"[3.4805867e-04 9.5184021e-09 1.1856158e-03 7.6614809e-01 2.3011687e-01
 2.1459640e-03 5.5402354e-05]",2021-05-04 21:52:42.638027
Happy,3,"[1.8181367e-03 3.3064890e-07 9.2158318e-03 7.5526375e-01 2.2779664e-01
 5.3781932e-03 5.2717584e-04]",2021-05-04 21:52:42.725957
Happy,3,"[4.19667223e-03 4.33993819e-07 2.71667074e-02 6.32296264e-01
 3.21429580e-01 1.31327715e-02 1.77767617e-03]",2021-05-04 21:52:42.808962
Happy,3,"[1.1670182e-04 8.7954559e-09 3.3490491e-04 8.2957935e-01 1.6870397e-01
 1.2567483e-03 8.1929493e-06]",2021-05-04 21:52:42.895111
Happy,3,"[7.0025888e-04 4.5765738e-08 7.8223413e-03 6.6889149e-01 3.1759012e-01
 4.9481736e-03 4.7630183e-05]",2021-05-04 21:52:42.983126
Happy,3,"[3.6536385e-03 1.0468203e-05 7.4930158e-03 5.8114696e-01 3.8722768e-01
 2.0045817e-02 4.2246809e-04]",2021-05-04 21:52:43.072922
Happy,3,"[2.0664094e-03 5.6905793e-07 4.9018054e-03 8.3343846e-01 1.4157128e-01
 1.6481647e-02 1.5398575e-03]",2021-05-04 21:52:43.157928
Happy,3,"[1.2063505e-03 2.4545711e-06 6.2327771e-03 8.3221996e-01 1.4602245e-01
 1.4187744e-02 1.2817424e-04]",2021-05-04 21:52:43.247841
Happy,3,"[2.8248478e-03 8.0151804e-06 1.0159279e-02 8.2022715e-01 1.4177343e-01
 2.4262168e-02 7.4514525e-04]",2021-05-04 21:52:43.340863
Happy,3,"[2.6831383e-02 1.3250882e-04 6.9033459e-02 4.5022377e-01 3.7377596e-01
 7.9042576e-02 9.6034218e-04]",2021-05-04 21:52:43.423809
Happy,3,"[0.03263843 0.00139626 0.09196737 0.4302843  0.2553751  0.18325794
 0.00508062]",2021-05-04 21:52:43.513061
Happy,3,"[1.1345789e-02 1.7381048e-04 2.1444622e-02 6.0328048e-01 3.2722026e-01
 3.5979670e-02 5.5536878e-04]",2021-05-04 21:52:43.603071
Happy,3,"[5.2393032e-03 8.3866071e-05 1.8296288e-02 5.6246310e-01 3.5767496e-01
 5.5020392e-02 1.2220854e-03]",2021-05-04 21:52:43.691374
Happy,3,"[5.4741865e-03 4.8867536e-05 1.5541369e-02 6.8901926e-01 2.6388353e-01
 2.4859462e-02 1.1732202e-03]",2021-05-04 21:52:43.779482
Happy,3,"[4.8876684e-03 3.6221245e-05 1.7099952e-02 5.5397403e-01 3.8915235e-01
 3.3468559e-02 1.3812891e-03]",2021-05-04 21:52:43.862560
Neutral,4,"[0.04952623 0.00685166 0.07434799 0.24546239 0.42979702 0.18944381
 0.00457082]",2021-05-04 21:52:43.956726
Neutral,4,"[9.3420949e-03 6.0385274e-04 1.3039487e-02 2.4128374e-01 7.1048486e-01
 2.4537740e-02 7.0820132e-04]",2021-05-04 21:52:44.046905
Happy,3,"[1.8093050e-03 2.5077933e-04 6.6509568e-03 6.4037496e-01 3.4459889e-01
 4.6464824e-03 1.6686047e-03]",2021-05-04 21:52:44.125448
Happy,3,"[2.8599808e-03 2.4111249e-04 6.8927510e-03 6.2881404e-01 3.5512292e-01
 5.0804988e-03 9.8865677e-04]",2021-05-04 21:52:44.208460
Neutral,4,"[1.2113795e-02 2.5786937e-04 1.8406693e-02 4.3880185e-01 4.6379411e-01
 6.3799582e-02 2.8261202e-03]",2021-05-04 21:52:44.300903
Happy,3,"[7.4704629e-03 5.0383131e-04 1.8139603e-02 5.2784008e-01 4.2539734e-01
 1.5945571e-02 4.7030328e-03]",2021-05-04 21:52:44.388910
Happy,3,"[1.0410188e-03 5.8392965e-05 2.7744779e-03 5.4392898e-01 4.4652382e-01
 5.1497445e-03 5.2344240e-04]",2021-05-04 21:52:44.479925
Happy,3,"[0.00725111 0.00070059 0.03332641 0.6610311  0.2737412  0.0180797
 0.00586981]",2021-05-04 21:52:44.570973
Happy,3,"[7.4416250e-03 4.3832310e-04 2.4900805e-02 7.0648390e-01 2.3135591e-01
 2.3941251e-02 5.4383092e-03]",2021-05-04 21:52:44.667292
Happy,3,"[8.7708449e-03 3.0989505e-04 6.2022787e-02 5.0695187e-01 3.7138674e-01
 4.5868587e-02 4.6892762e-03]",2021-05-04 21:52:44.756847
Happy,3,"[1.8713528e-03 2.0025751e-05 7.9830224e-03 7.4253643e-01 2.3910215e-01
 6.9887578e-03 1.4982148e-03]",2021-05-04 21:52:44.834799
Happy,3,"[2.0049501e-03 2.6380318e-05 9.5610050e-03 7.1645850e-01 2.6251093e-01
 9.1024609e-03 3.3575873e-04]",2021-05-04 21:52:44.919850
Happy,3,"[0.01412145 0.00063339 0.02798722 0.626178   0.28892884 0.03968097
 0.00247016]",2021-05-04 21:52:45.013981
