labels,classes,predictions,time
Neutral,4,"[1.0649229e-02 1.0198277e-04 9.0422466e-02 6.9427397e-03 8.5519409e-01
 3.6644328e-02 4.5127184e-05]",2021-05-04 19:33:23.210844
Neutral,4,"[4.2138558e-02 1.1392154e-04 1.6060495e-01 1.2426170e-02 7.0644087e-01
 7.7943660e-02 3.3190975e-04]",2021-05-04 19:33:23.293290
Neutral,4,"[3.5331409e-02 8.8783570e-05 1.0118053e-01 2.7445937e-02 7.6553971e-01
 6.9898687e-02 5.1491981e-04]",2021-05-04 19:33:23.369490
Neutral,4,"[0.06910335 0.0006299  0.23748201 0.00760092 0.3698391  0.31496128
 0.0003834 ]",2021-05-04 19:33:23.453499
Neutral,4,"[2.3012239e-02 9.9017425e-06 1.2728953e-01 5.5155382e-03 7.5516701e-01
 8.8708207e-02 2.9749202e-04]",2021-05-04 19:33:23.536150
Neutral,4,"[2.0623021e-02 6.0016766e-05 1.0318822e-01 8.2496898e-03 7.9521817e-01
 7.2513185e-02 1.4769228e-04]",2021-05-04 19:33:23.607441
Neutral,4,"[3.8978446e-02 6.3872387e-05 1.1285453e-01 9.1063818e-03 7.3893994e-01
 9.9859640e-02 1.9721569e-04]",2021-05-04 19:33:23.689448
Neutral,4,"[2.2353539e-02 4.0650411e-05 7.2857402e-02 1.9533101e-02 8.1444514e-01
 7.0523620e-02 2.4649408e-04]",2021-05-04 19:33:23.770848
Neutral,4,"[5.4487895e-02 1.7902425e-04 9.8052584e-02 2.3067886e-02 7.3358691e-01
 8.8384472e-02 2.2412259e-03]",2021-05-04 19:33:23.844502
Neutral,4,"[7.1366265e-02 1.1886054e-04 1.4311820e-01 1.0296229e-02 6.9055116e-01
 8.3930977e-02 6.1827706e-04]",2021-05-04 19:33:23.920508
Neutral,4,"[4.7510102e-02 9.9882818e-05 1.1230526e-01 1.3712053e-01 5.9029531e-01
 1.1180040e-01 8.6848298e-04]",2021-05-04 19:33:24.003524
Neutral,4,"[2.0381093e-02 1.0650623e-04 1.3877860e-01 1.2686756e-01 6.5828317e-01
 5.5313390e-02 2.6974667e-04]",2021-05-04 19:33:24.082017
Neutral,4,"[3.4140006e-02 1.1668555e-04 1.7358175e-01 1.2146031e-01 6.1033624e-01
 6.0012508e-02 3.5250239e-04]",2021-05-04 19:33:24.163698
Neutral,4,"[1.24131832e-02 8.97684549e-06 1.05282456e-01 4.49022874e-02
 7.22433746e-01 1.14896223e-01 6.31413568e-05]",2021-05-04 19:33:24.242014
Neutral,4,"[2.7863415e-02 2.5755471e-05 1.7391886e-01 1.7114045e-02 6.3633710e-01
 1.4467423e-01 6.6707136e-05]",2021-05-04 19:33:24.324496
Neutral,4,"[3.0286919e-02 1.5085247e-04 2.0154342e-01 5.8368791e-02 6.0226154e-01
 1.0711056e-01 2.7794918e-04]",2021-05-04 19:33:24.415424
Neutral,4,"[2.4570815e-02 2.1738029e-04 9.1263480e-02 8.6587938e-03 7.1003085e-01
 1.6517754e-01 8.1109247e-05]",2021-05-04 19:33:24.489935
Neutral,4,"[2.6874244e-02 1.8631844e-04 8.1974030e-02 7.5048930e-03 7.6523453e-01
 1.1816787e-01 5.8134632e-05]",2021-05-04 19:33:24.558947
Neutral,4,"[2.7240233e-02 5.2112868e-05 9.6259318e-02 3.1073920e-03 6.7928213e-01
 1.9392486e-01 1.3393082e-04]",2021-05-04 19:33:24.646011
Neutral,4,"[3.4800980e-02 4.1003450e-04 1.4129116e-01 1.2346131e-02 6.9619006e-01
 1.1427072e-01 6.9091417e-04]",2021-05-04 19:33:24.723021
Neutral,4,"[4.3697018e-02 4.0668159e-04 1.7650266e-01 1.2895029e-02 6.7050946e-01
 9.5090568e-02 8.9858047e-04]",2021-05-04 19:33:24.797029
Neutral,4,"[5.0627243e-02 1.3568156e-04 1.2202357e-01 4.3168580e-03 6.5954804e-01
 1.6314873e-01 1.9992972e-04]",2021-05-04 19:33:24.881010
Neutral,4,"[5.2418638e-02 2.4656666e-04 1.2317316e-01 8.4829964e-03 6.5724695e-01
 1.5818232e-01 2.4929430e-04]",2021-05-04 19:33:24.960241
Neutral,4,"[4.8738126e-02 4.3441742e-04 1.3281716e-01 3.9052723e-03 6.3240230e-01
 1.8137386e-01 3.2884418e-04]",2021-05-04 19:33:25.030014
Neutral,4,"[7.0865020e-02 3.1743347e-04 1.2841643e-01 6.0030171e-03 5.8416760e-01
 2.0987973e-01 3.5070398e-04]",2021-05-04 19:33:25.110598
Neutral,4,"[1.6194252e-02 9.1023630e-06 7.9933174e-02 3.1727089e-03 6.0483992e-01
 2.9584360e-01 7.2538533e-06]",2021-05-04 19:33:25.195118
