labels,classes,predictions,time
Angry,0,"[9.9941373e-01 1.7023692e-07 1.8680375e-04 5.0590803e-05 9.5645970e-05
 2.2605625e-04 2.7052953e-05]",2021-07-12 22:41:07.077164
Angry,0,"[9.99432981e-01 4.07233216e-08 7.06558058e-05 1.21007404e-04
 1.49171188e-04 1.87137208e-04 3.89813795e-05]",2021-07-12 22:41:07.181172
Angry,0,"[9.38929796e-01 1.20626908e-07 1.24306865e-02 6.49706519e-04
 3.34394686e-02 1.43648023e-02 1.85390571e-04]",2021-07-12 22:41:07.279178
Fearful,2,"[9.6284004e-04 2.4508157e-08 9.5654613e-01 1.4428690e-05 3.5138472e-04
 4.2124368e-02 7.5517261e-07]",2021-07-12 22:41:07.390166
Fearful,2,"[1.8793916e-02 2.4732463e-10 8.6905712e-01 2.9091116e-03 7.0867829e-02
 3.3291399e-02 5.0805770e-03]",2021-07-12 22:41:07.653107
Fearful,2,"[1.8793916e-02 2.4732463e-10 8.6905712e-01 2.9091116e-03 7.0867829e-02
 3.3291399e-02 5.0805770e-03]",2021-07-12 22:41:07.758115
Sad,5,"[3.3026689e-04 2.3093595e-10 8.0729946e-03 2.9928877e-05 9.0585435e-03
 9.8250824e-01 4.1062078e-09]",2021-07-12 22:41:08.062144
Sad,5,"[3.3026689e-04 2.3093595e-10 8.0729946e-03 2.9928877e-05 9.0585435e-03
 9.8250824e-01 4.1062078e-09]",2021-07-12 22:41:08.170149
Fearful,2,"[1.1311202e-02 1.5869413e-10 6.3991976e-01 7.4664684e-04 3.2029745e-01
 2.2528309e-02 5.1965998e-03]",2021-07-12 22:41:08.277169
Neutral,4,"[3.7560565e-04 2.3098507e-12 1.8832034e-03 9.9084264e-06 9.9167514e-01
 6.0447534e-03 1.1342410e-05]",2021-07-12 22:41:08.388175
Neutral,4,"[9.5796981e-04 7.2495109e-12 2.1255049e-03 1.7690300e-05 9.9325776e-01
 3.6097351e-03 3.1415635e-05]",2021-07-12 22:41:08.488182
Neutral,4,"[3.9510147e-04 2.1264104e-12 1.0474919e-03 1.2896959e-05 9.9679047e-01
 1.7345680e-03 1.9514728e-05]",2021-07-12 22:41:08.599188
Neutral,4,"[4.4328775e-03 5.2565813e-10 8.1994245e-04 2.2099062e-05 9.9421185e-01
 1.8664596e-04 3.2649381e-04]",2021-07-12 22:41:08.732206
Neutral,4,"[4.4328775e-03 5.2565813e-10 8.1994245e-04 2.2099062e-05 9.9421185e-01
 1.8664596e-04 3.2649381e-04]",2021-07-12 22:41:08.830214
Neutral,4,"[7.4779376e-04 5.2854943e-12 7.5119105e-04 5.4630847e-05 9.9788314e-01
 4.8425759e-04 7.9017678e-05]",2021-07-12 22:41:08.940229
Neutral,4,"[2.8368534e-04 2.3179542e-12 1.3553366e-04 5.8570036e-05 9.9940944e-01
 3.4534314e-05 7.8285499e-05]",2021-07-12 22:41:09.054233
Neutral,4,"[5.0597984e-02 6.8337856e-11 5.0761588e-03 1.5247985e-02 9.2458582e-01
 2.2143845e-03 2.2776562e-03]",2021-07-12 22:41:09.154238
Happy,3,"[8.3992508e-04 5.4430835e-16 3.8839240e-05 9.9825329e-01 6.5028702e-04
 1.9525090e-05 1.9806341e-04]",2021-07-12 22:41:09.266246
Neutral,4,"[1.1437667e-02 2.0125429e-12 2.6806253e-03 1.8604966e-01 7.9208690e-01
 3.3025531e-04 7.4148811e-03]",2021-07-12 22:41:09.391250
Neutral,4,"[1.1437667e-02 2.0125429e-12 2.6806253e-03 1.8604966e-01 7.9208690e-01
 3.3025531e-04 7.4148811e-03]",2021-07-12 22:41:09.497259
Happy,3,"[9.3277798e-05 2.5870036e-17 4.1996291e-06 9.9981385e-01 6.4224798e-05
 3.5683045e-06 2.0900770e-05]",2021-07-12 22:41:09.602272
Neutral,4,"[1.4844075e-04 2.5926147e-12 1.8197786e-04 4.5998681e-06 9.9951768e-01
 1.2857102e-04 1.8697976e-05]",2021-07-12 22:41:09.665275
Happy,3,"[1.24638425e-02 6.05582546e-14 1.97259389e-04 9.83890593e-01
 2.87052733e-03 3.22932785e-04 2.54904531e-04]",2021-07-12 22:41:09.779286
Happy,3,"[3.1829000e-04 2.9153654e-16 2.1091892e-05 9.9943918e-01 1.6779359e-04
 3.7647729e-05 1.5919797e-05]",2021-07-12 22:41:09.882293
Happy,3,"[1.2128068e-08 2.8471351e-24 5.7530580e-10 9.9999976e-01 4.4764242e-08
 1.1252103e-10 2.9754491e-07]",2021-07-12 22:41:09.985298
Happy,3,"[5.6222220e-06 1.2632380e-19 2.3278116e-07 9.9997675e-01 7.1883742e-06
 8.3924462e-08 1.0163532e-05]",2021-07-12 22:41:10.115310
Happy,3,"[9.6987254e-09 1.8008927e-24 5.1471610e-10 9.9999976e-01 3.9456562e-08
 1.1948663e-10 2.0395662e-07]",2021-07-12 22:41:10.219317
Happy,3,"[1.1002827e-06 8.2809665e-21 4.0989729e-08 9.9999487e-01 1.8687297e-06
 1.8607571e-08 2.0478640e-06]",2021-07-12 22:41:10.331327
Happy,3,"[1.1002827e-06 8.2809665e-21 4.0989729e-08 9.9999487e-01 1.8687297e-06
 1.8607571e-08 2.0478640e-06]",2021-07-12 22:41:10.439259
Happy,3,"[3.5403847e-08 1.9663909e-23 1.4759356e-09 9.9999917e-01 1.0345923e-07
 2.5601971e-10 7.4676149e-07]",2021-07-12 22:41:10.550271
Happy,3,"[5.0447518e-08 3.4350222e-23 2.7098410e-09 9.9999964e-01 1.5365367e-07
 1.3591518e-09 2.1943558e-07]",2021-07-12 22:41:10.674275
Happy,3,"[1.3692635e-09 7.0614132e-26 6.6468317e-11 9.9999988e-01 7.4195259e-09
 1.0251387e-11 8.6810957e-08]",2021-07-12 22:41:10.788287
Happy,3,"[1.0212495e-05 3.7742550e-19 5.1824765e-07 9.9994659e-01 1.7664703e-05
 1.1750385e-07 2.4957189e-05]",2021-07-12 22:41:10.903297
Happy,3,"[1.3657814e-09 8.5616023e-26 5.1275907e-11 9.9999988e-01 6.4892616e-09
 5.5132101e-12 1.3977034e-07]",2021-07-12 22:41:11.007306
Happy,3,"[1.7646352e-06 2.0913187e-20 1.2060380e-07 9.9999297e-01 2.8275754e-06
 7.4846191e-08 2.1501337e-06]",2021-07-12 22:41:11.129843
Happy,3,"[1.7646352e-06 2.0913187e-20 1.2060380e-07 9.9999297e-01 2.8275754e-06
 7.4846191e-08 2.1501337e-06]",2021-07-12 22:41:11.258772
Happy,3,"[1.32566958e-03 9.41865401e-15 9.29484813e-05 9.84861970e-01
 1.12791145e-02 5.11088456e-06 2.43521202e-03]",2021-07-12 22:41:11.371779
Angry,0,"[6.1682451e-01 1.0872281e-09 1.7559273e-02 2.7340857e-02 3.0495012e-01
 3.1641569e-02 1.6836111e-03]",2021-07-12 22:41:11.487160
