epoch,auxilliary_output_1_accuracy,auxilliary_output_1_loss,auxilliary_output_2_accuracy,auxilliary_output_2_loss,loss,lr,output_accuracy,output_loss,val_auxilliary_output_1_accuracy,val_auxilliary_output_1_loss,val_auxilliary_output_2_accuracy,val_auxilliary_output_2_loss,val_loss,val_output_accuracy,val_output_loss
0,0.4336318075656891,1.3300503492355347,0.4240299165248871,1.3475457429885864,4.425953388214111,0.001,0.41115546226501465,1.4443095922470093,0.449512779712677,1.3007392883300781,0.4598454236984253,1.3034911155700684,4.145545959472656,0.46118950843811035,1.3713743686676025
1,0.4660337269306183,1.2807751893997192,0.4622936546802521,1.287160038948059,3.9745709896087646,0.001,0.44992268085479736,1.3087034225463867,0.4952957034111023,1.255649209022522,0.4968077838420868,1.2614160776138306,3.8369905948638916,0.4920194745063782,1.2707154750823975
2,0.47671449184417725,1.251800775527954,0.47746971249580383,1.2554982900619507,3.8147332668304443,0.001,0.46236559748649597,1.2777620553970337,0.5121808052062988,1.2246569395065308,0.5042842626571655,1.234858512878418,3.7125821113586426,0.5069724321365356,1.234825611114502
3,0.48797065019607544,1.2368718385696411,0.4855252206325531,1.2444729804992676,3.7622745037078857,0.001,0.4729025065898895,1.2664071321487427,0.4989919364452362,1.2805196046829224,0.5030242204666138,1.2572356462478638,3.878488302230835,0.4328797161579132,1.3290603160858154
4,0.493113249540329,1.2203655242919922,0.49232208728790283,1.2264552116394043,3.7070608139038086,0.001,0.4822886288166046,1.249118447303772,0.5075604915618896,1.2350212335586548,0.5251176357269287,1.218132495880127,3.788816452026367,0.4703460931777954,1.3245415687561035
5,0.5018520355224609,1.207972764968872,0.5001618266105652,1.2132171392440796,3.673520803451538,0.001,0.4902722239494324,1.241321086883545,0.5126007795333862,1.1862303018569946,0.5526713728904724,1.1741966009140015,3.548773765563965,0.5412466526031494,1.1765152215957642
6,0.5195454359054565,1.1798944473266602,0.5180350542068481,1.1911271810531616,3.602787971496582,0.001,0.5021038055419922,1.2193903923034668,0.496387779712677,1.2881616353988647,0.5018481016159058,1.2538342475891113,3.888051986694336,0.3936491906642914,1.334771990776062
7,0.5351170301437378,1.1460710763931274,0.5346136093139648,1.1538200378417969,3.4931790828704834,0.001,0.5207681655883789,1.1830253601074219,0.6192876100540161,1.0450164079666138,0.6168514490127563,1.0830062627792358,3.2504305839538574,0.608618974685669,1.1084907054901123
8,0.5522710084915161,1.1247518062591553,0.5489984750747681,1.1351174116134644,3.4464545249938965,0.001,0.5324918031692505,1.1759140491485596,0.4994119703769684,1.2024580240249634,0.5282257795333862,1.1238799095153809,3.459144115447998,0.5556115508079529,1.1229873895645142
9,0.49476751685142517,1.215690016746521,0.5008810758590698,1.2312167882919312,100.0915298461914,0.001,0.4726147949695587,97.6281967163086,0.44203630089759827,1.324446678161621,0.44203630089759827,1.3330973386764526,4.051103591918945,0.44203630089759827,1.3714393377304077
10,0.41752076148986816,1.3469077348709106,0.4159024655818939,1.3551123142242432,4.118587493896484,0.001,0.3835005462169647,1.4034069776535034,0.441700279712677,1.3289052248001099,0.441700279712677,1.3379123210906982,4.071727275848389,0.441700279712677,1.3969181776046753
11,0.4176286458969116,1.3504055738449097,0.417808473110199,1.3536381721496582,4.116230487823486,0.001,0.37807026505470276,1.405568242073059,0.44203630089759827,1.3466169834136963,0.44203630089759827,1.3372917175292969,4.1003642082214355,0.44203630089759827,1.4112722873687744
12,0.41813212633132935,1.3500103950500488,0.4173409640789032,1.3500711917877197,4.098267078399658,0.001,0.37785449624061584,1.3938504457473755,0.4417842626571655,1.3288804292678833,0.4417842626571655,1.3408308029174805,4.038224220275879,0.4417842626571655,1.364766240119934
13,0.4180242419242859,1.3499611616134644,0.41784441471099854,1.351951241493225,4.104486465454102,0.001,0.37792640924453735,1.3994956016540527,0.4421202838420868,1.326958417892456,0.4421202838420868,1.3269050121307373,3.993518829345703,0.4421202838420868,1.3363033533096313
14,0.41302549839019775,1.3502882719039917,0.41489553451538086,1.349496841430664,4.0887932777404785,0.001,0.3814866840839386,1.3866747617721558,0.44195228815078735,1.3381224870681763,0.44195228815078735,1.3290597200393677,4.108381271362305,0.1896001398563385,1.439194917678833
